time_bin,timestamp,total_vehicles,car_count,truck_count,total_stopped_vehicles,avg_queue_length,max_queue_length,avg_speed,median_speed,speed_std,percent_stopped,avg_lane_occupancy,max_lane_occupancy,num_active_lanes,traffic_density,flow_rate,avg_acceleration,harsh_braking_count,pedestrian_count,avg_ped_waiting_time,max_ped_waiting_time,ped_crossing_demand,avg_ped_speed,stopped_pedestrians,bicycle_count,avg_bicycle_speed,hour_of_day,minute_of_hour,time_of_day_sin,time_of_day_cos,recording_id
0,0.0,14,13,1,5,0,0,4.002524295152999,0.0,6.172232731779247,35.714285714285715,0,0,0,0.002778236150970913,28.037383177570092,0.3628525954555401,0,0,0.0,0.0,0,0.0,0,0,0.0,8,0,0.8660254037844387,-0.4999999999999998,04
1,30.0,14,13,1,4,0,0,4.334849345724848,0.0,6.377657098240862,28.57142857142857,0,0,0,0.002666282218244031,28.037383177570092,0.2773285955720227,47,0,0.0,0.0,0,0.0,0,0,0.0,8,0,0.8660254037844387,-0.4999999999999998,04
2,60.0,17,17,0,3,0,0,5.568503973096096,0.0,6.800189738555782,17.647058823529413,0,0,0,0.0028502227100811136,34.04539385847797,0.45587014567330425,73,0,0.0,0.0,0,0.0,0,0,0.0,8,1,0.8660254037844387,-0.4999999999999998,04
3,90.0,16,15,1,3,0,0,5.482459333112686,0.0,7.592627423276216,18.75,0,0,0,0.0046717371705657,32.04272363150868,0.27804413781178083,25,0,0.0,0.0,0,0.0,0,0,0.0,8,1,0.8660254037844387,-0.4999999999999998,04
4,120.0,12,12,0,3,0,0,4.044777847345316,0.0,6.252493934162295,25.0,0,0,0,0.002152231127530318,24.032042723631506,0.2982034279812592,59,0,0.0,0.0,0,0.0,0,0,0.0,8,2,0.8660254037844387,-0.4999999999999998,04
5,150.0,12,11,1,4,0,0,3.051487324626834,0.0,5.896477695170912,33.33333333333333,0,0,0,0.0027360661411085737,24.032042723631506,0.295118136019117,91,0,0.0,0.0,0,0.0,0,0,0.0,8,2,0.8660254037844387,-0.4999999999999998,04
6,180.0,18,17,1,3,0,0,5.493810100820844,0.0,6.988462738104769,16.666666666666664,0,0,0,0.003237454165080634,36.048064085447265,0.22095663746929972,2,0,0.0,0.0,0,0.0,0,0,0.0,8,3,0.8660254037844387,-0.4999999999999998,04
7,210.0,14,14,0,3,0,0,3.985305469733256,0.0,6.46906059453582,21.428571428571427,0,0,0,0.0023998117295924042,28.037383177570092,0.25693859398017005,6,0,0.0,0.0,0,0.0,0,0,0.0,8,3,0.8660254037844387,-0.4999999999999998,04
8,240.0,14,13,1,3,0,0,4.211937117337363,0.0,6.620433779603916,21.428571428571427,0,0,0,0.00246833425754309,28.037383177570092,0.2850587138989207,145,1,0.0,0.0,1,1.6719783552882528,0,0,0.0,8,4,0.8660254037844387,-0.4999999999999998,04
9,270.0,14,13,1,3,0,0,4.851922817871779,0.0,7.562719727437966,21.428571428571427,0,0,0,0.0025970293500731842,28.037383177570092,0.17926422430675842,9,1,0.0,0.0,1,1.657420851126267,0,0,0.0,8,4,0.8660254037844387,-0.4999999999999998,04
10,300.0,5,4,1,3,0,0,1.1699395072789227,0.0,4.083280679816342,60.0,0,0,0,0.0020674471002263073,10.013351134846463,0.08396757522909112,8,1,1.36,1.36,1,1.1387175468436874,1,0,0.0,8,5,0.8660254037844387,-0.4999999999999998,04
11,330.0,17,16,1,3,0,0,4.935868431444218,0.0,6.625221719316424,17.647058823529413,0,0,0,0.0028929480557489595,34.04539385847797,0.48083715883435757,45,1,0.4,0.4,1,0.601869290593667,1,0,0.0,8,5,0.8660254037844387,-0.4999999999999998,04
12,360.0,16,15,1,3,0,0,4.338986300426563,0.0,6.696945727338736,18.75,0,0,0,0.0027384341169861904,32.04272363150868,0.28504694482983284,104,1,0.0,0.0,1,0.5497647660698979,0,0,0.0,8,6,0.8660254037844387,-0.4999999999999998,04
13,390.0,13,11,2,4,0,0,4.364569465500731,0.0,6.242141001413465,30.76923076923077,0,0,0,0.002264459211293352,26.0347129506008,0.48904720724203177,70,1,1.8,1.8,1,0.4532322698457826,1,0,0.0,8,6,0.8660254037844387,-0.4999999999999998,04
14,420.0,13,10,3,3,0,0,4.265298717153246,0.0,7.304501975799777,23.076923076923077,0,0,0,0.0026333418607921003,26.0347129506008,0.1566620065719303,4,1,9.76,9.76,1,0.3318600820973295,1,0,0.0,8,7,0.8660254037844387,-0.4999999999999998,04
15,450.0,8,6,2,3,0,0,2.888600890378379,0.0,5.7081968754713985,37.5,0,0,0,0.001615325054283376,16.02136181575434,0.2777634420465847,0,1,3.4,3.4,1,0.47724077082836214,1,0,0.0,8,7,0.8660254037844387,-0.4999999999999998,04
16,480.0,10,8,2,3,0,0,3.027734399983266,0.0,5.214221223931749,30.0,0,0,0,0.0018105057135522468,20.026702269692926,0.25322778776020183,37,2,3.48,3.48,2,0.6377272886241742,1,0,0.0,8,8,0.8660254037844387,-0.4999999999999998,04
17,510.0,11,11,0,3,0,0,4.073496594086351,0.0,6.984808666275709,27.27272727272727,0,0,0,0.0021042225972150628,22.029372496662216,0.3469379197008605,121,0,0.0,0.0,0,0.0,0,0,0.0,8,8,0.8660254037844387,-0.4999999999999998,04
18,540.0,16,14,2,3,0,0,5.431118147444972,0.0,7.061457934834408,18.75,0,0,0,0.0028643796320273487,32.04272363150868,0.40364450955000314,31,0,0.0,0.0,0,0.0,0,0,0.0,8,9,0.8660254037844387,-0.4999999999999998,04
19,570.0,7,7,0,3,0,0,2.8428272987414083,0.0,5.723377995080024,42.857142857142854,0,0,0,0.0012437724037037375,14.018691588785046,0.20866892123890626,90,1,0.0,0.0,1,1.9650448060596872,0,0,0.0,8,9,0.8660254037844387,-0.4999999999999998,04
20,600.0,15,14,1,3,0,0,4.793298262655091,0.0,6.571526755559753,20.0,0,0,0,0.00267653029071496,30.040053404539385,0.4978152018673592,73,1,0.0,0.0,1,1.9469286799315673,0,0,0.0,8,10,0.8660254037844387,-0.4999999999999998,04
21,630.0,10,10,0,3,0,0,4.152771732893315,0.0,5.612646385744767,30.0,0,0,0,0.0017081590745868479,34.01360544217687,0.25951170254208167,45,1,0.0,0.0,1,1.9362712611613067,0,1,12.024789495899357,8,10,0.8660254037844387,-0.4999999999999998,04
