time_bin,timestamp,total_vehicles,car_count,truck_count,total_stopped_vehicles,avg_queue_length,max_queue_length,avg_speed,median_speed,speed_std,percent_stopped,avg_lane_occupancy,max_lane_occupancy,num_active_lanes,traffic_density,flow_rate,avg_acceleration,harsh_braking_count,pedestrian_count,avg_ped_waiting_time,max_ped_waiting_time,stopped_pedestrians,ped_crossing_demand,avg_ped_speed,bicycle_count,avg_bicycle_speed,hour_of_day,minute_of_hour,time_of_day_sin,time_of_day_cos,recording_id
0,0.0,10,10,0,7,0,0,1.1040271839505693,0.0,3.009272179419662,70.0,0,0,0,0.004313968450517445,20.026702269692926,0.1762265379535152,49,3,0.0,0.0,0,3,1.5448872801479152,0,0.0,8,0,0.8660254037844387,-0.4999999999999998,13
1,30.0,13,13,0,5,0,0,1.7658567942574135,0.0,4.202412342190275,38.46153846153847,0,0,0,0.005509259930711484,26.0347129506008,0.17756835317892064,0,3,0.0,0.0,0,3,1.5607730973479803,0,0.0,8,0,0.8660254037844387,-0.4999999999999998,13
2,60.0,22,21,1,9,0,0,2.3292059586687506,0.001893924132541406,3.8188180986783884,40.909090909090914,0,0,0,0.00952117429753469,44.05874499332443,0.3561480512906692,39,2,0.0,0.0,0,2,1.6350417733342963,3,7.472679250844198,8,1,0.8660254037844387,-0.4999999999999998,13
3,90.0,17,17,0,10,0,0,1.6221669710043494,0.004728889933166134,2.9597378607881137,58.82352941176471,0,0,0,0.007951051013343632,34.04539385847797,0.40328026485668894,53,2,3.64,3.64,1,2,1.4133456327531024,1,3.0552828986913716,8,1,0.8660254037844387,-0.4999999999999998,13
4,120.0,14,13,1,7,0,0,1.2240985241499347,0.0,2.927402796507724,50.0,0,0,0,0.0060567771248432765,28.037383177570092,0.2620830511437744,59,6,0.08,0.08,1,6,1.6424310404236082,2,4.043474157296554,8,2,0.8660254037844387,-0.4999999999999998,13
5,150.0,12,11,1,6,0,0,1.4502442725181854,0.0,3.522687309252179,50.0,0,0,0,0.005171326869280546,24.032042723631506,0.15791255282851305,0,5,21.32,21.32,1,5,0.853964653437911,2,5.140607089726136,8,2,0.8660254037844387,-0.4999999999999998,13
6,180.0,15,14,1,8,0,0,2.0095056102622113,0.0,4.0783922494944616,53.333333333333336,0,0,0,0.006417950352572297,30.040053404539385,0.20514370587841924,2,4,7.58,14.8,2,4,0.9384907512283472,2,5.228961040908197,8,3,0.8660254037844387,-0.4999999999999998,13
7,210.0,13,12,1,7,0,0,1.559382793230831,0.0,3.918830448367828,53.84615384615385,0,0,0,0.005594673787072018,26.0347129506008,0.1181146649214406,0,6,3.84,6.76,2,6,1.0028266999234565,2,5.212348937770277,8,3,0.8660254037844387,-0.4999999999999998,13
8,240.0,16,15,1,6,0,0,2.1552763768297063,0.0,4.311113771263168,37.5,0,0,0,0.006795413714442099,32.04272363150868,0.16854151105297446,1,8,0.0,0.0,0,8,1.3924026871161181,2,3.504386983033396,8,4,0.8660254037844387,-0.4999999999999998,13
9,270.0,18,17,1,6,0,0,2.228869327167977,0.0,4.00644844522224,33.33333333333333,0,0,0,0.0076371116644296765,36.048064085447265,0.29748416398970856,30,5,0.0,0.0,0,5,1.5839415708040656,1,5.176384525707816,8,4,0.8660254037844387,-0.4999999999999998,13
10,300.0,16,15,1,8,0,0,1.6528733139954148,0.0,3.500080804540212,50.0,0,0,0,0.006870635527264109,32.04272363150868,0.25702854436664624,45,3,0.0,0.0,0,3,1.5265861674032553,3,5.131625469002153,8,5,0.8660254037844387,-0.4999999999999998,13
11,330.0,13,12,1,7,0,0,1.464148525232187,0.0,3.619212025714369,53.84615384615385,0,0,0,0.005657176514322728,26.0347129506008,0.1241190242280965,23,6,0.0,0.0,0,6,1.325861885535018,1,4.936330935906514,8,5,0.8660254037844387,-0.4999999999999998,13
12,360.0,13,12,1,6,0,0,1.51084031457914,0.0,4.090679311704185,46.15384615384615,0,0,0,0.005621502883765626,26.0347129506008,0.039648376730017774,0,6,0.0,0.0,0,6,1.3810240442914106,1,12.38855971485416,8,6,0.8660254037844387,-0.4999999999999998,13
13,390.0,12,11,1,6,0,0,1.1331687836269655,0.0,3.0950196493130884,50.0,0,0,0,0.005828307105678674,24.032042723631506,0.1801203901450054,0,4,0.0,0.0,0,4,1.4522980652083168,1,4.100582141703212,8,6,0.8660254037844387,-0.4999999999999998,13
