time_bin,timestamp,total_vehicles,car_count,truck_count,total_stopped_vehicles,avg_queue_length,max_queue_length,avg_speed,median_speed,speed_std,percent_stopped,avg_lane_occupancy,max_lane_occupancy,num_active_lanes,traffic_density,flow_rate,avg_acceleration,harsh_braking_count,pedestrian_count,avg_ped_waiting_time,max_ped_waiting_time,ped_crossing_demand,avg_ped_speed,stopped_pedestrians,bicycle_count,avg_bicycle_speed,hour_of_day,minute_of_hour,time_of_day_sin,time_of_day_cos,recording_id
0,0.0,15,13,2,5,0,0,5.19609484779002,0.7180818622572804,6.261935822075993,33.33333333333333,0,0,0,0.0015613884708168511,30.040053404539385,0.6467210357987145,263,0,0.0,0.0,0,0.0,0,0,0.0,8,0,0.8660254037844387,-0.4999999999999998,00
1,30.0,13,10,3,4,0,0,5.204772712428815,0.4389291515723238,6.776314017986863,30.76923076923077,0,0,0,0.0014581759252980013,26.0347129506008,0.5518052072004432,77,0,0.0,0.0,0,0.0,0,0,0.0,8,0,0.8660254037844387,-0.4999999999999998,00
2,60.0,11,11,0,2,0,0,7.360484478281161,5.514307980662669,7.636252115076527,18.181818181818183,0,0,0,0.001398079620814431,22.029372496662216,0.4028446553078608,80,0,0.0,0.0,0,0.0,0,1,4.254188006374875,8,1,0.8660254037844387,-0.4999999999999998,00
3,90.0,11,10,1,2,0,0,5.214184039894375,0.0,6.458038611676303,18.181818181818183,0,0,0,0.0012884536751017897,22.029372496662216,0.4341057096191832,41,0,0.0,0.0,0,0.0,0,4,4.361035756322645,8,1,0.8660254037844387,-0.4999999999999998,00
4,120.0,17,16,1,2,0,0,8.008386806399312,9.393367783627976,6.760800957018814,11.76470588235294,0,0,0,0.0018226674245411774,34.04539385847797,0.6264304358615757,196,1,0.0,0.0,1,1.787706949232637,0,3,4.157749309259756,8,2,0.8660254037844387,-0.4999999999999998,00
5,150.0,15,14,1,4,0,0,6.7911428599121395,4.440301708944402,7.074923114138102,26.666666666666668,0,0,0,0.0016760374518520493,30.040053404539385,0.5702295008707415,124,0,0.0,0.0,0,0.0,0,2,5.760053104479804,8,2,0.8660254037844387,-0.4999999999999998,00
6,180.0,12,10,2,3,0,0,5.721090621480986,0.02729298994247424,6.892233273954583,25.0,0,0,0,0.0012694218163773017,24.032042723631506,0.5576305368358634,79,0,0.0,0.0,0,0.0,0,1,3.78778198400551,8,3,0.8660254037844387,-0.4999999999999998,00
7,210.0,19,17,2,4,0,0,7.147129807090845,4.521635406041234,7.252220768003553,21.052631578947366,0,0,0,0.0021416334272884915,38.05073431241655,0.6354167436551845,113,2,0.0,0.0,2,2.7694201210250227,0,1,12.931520875410714,8,3,0.8660254037844387,-0.4999999999999998,00
8,240.0,14,14,0,2,0,0,6.3799293479763435,5.440208717999706,6.345266745106504,14.285714285714285,0,0,0,0.0016007855039859747,28.037383177570092,0.7832300731210471,175,2,0.0,0.0,2,1.362298206634134,0,0,0.0,8,4,0.8660254037844387,-0.4999999999999998,00
9,270.0,15,15,0,2,0,0,7.2942580654039,4.384237781967982,7.808211002690123,13.333333333333334,0,0,0,0.0016078212440489806,30.040053404539385,0.5211935500163751,152,1,0.0,0.0,1,1.3010082421442513,0,2,7.20411986358696,8,4,0.8660254037844387,-0.4999999999999998,00
